model,gph,source,date
GULFSTREAM AEROSPACE Gulfstream G100,207,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G100-176,2024-02-02
GULFSTREAM G200,278,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G200-127,2024-02-02
GULFSTREAM G-8 G800,462,https://jetadvisors.com/jet/gulfstream-g800-gviii/,2024-02-02
HAWKER BEECHCRAFT Hawker 750/850,291,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Hawker/Textron-750-32,2024-02-02
HAWKER BEECHCRAFT Hawker 750/850,298,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Hawker/Textron-850XP-145,2024-02-02
RAYTHEON 4000 Hawker Horizon,321,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Hawker/Textron-4000-138,2024-02-02
RAYTHEON 4000 Hawker Horizon,222,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Hawker/Textron-400XP-140,2024-02-02
RAYTHEON Hawker 1000,232,https://www.libertyjet.com/private_jets/Hawker%201000,2024-02-02
RAYTHEON 390 Premier 1,159,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Beech-Premier-I-14,2024-02-02
BAE 125-1000A,232,https://www.libertyjet.com/private_jets/Hawker%201000,2024-02-02
HONDA HondaJet,120,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Honda-Aircraft-Company-Honda-Jet-216,2024-01-26
HA-420,120,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Honda-Aircraft-Company-Honda-Jet-216,2024-01-26
HAWKER SIDDELEY HS-125,263,https://www.libertyjet.com/private_jets/HS-125-700A,2024-02-02
PILATUS PC-12,76,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Pilatus-PC-12-147,2024-02-02
PILATUS PC-12,77,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Pilatus-PC-12-NG-150,2024-02-02
PILATUS PC-12,77,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Pilatus-PC-12-NGx-212,2024-02-02
PILATUS PC-24,191,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Pilatus-PC-24-215,2024-02-02
PIPER PA-46-500TP,48,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Piper-Meridian-151,2024-02-02
PIPER PA-46-600TP,122,https://www.libertyjet.com/private_jets/King%20Air%20350,2024-03-07
CIRRUS SF-50 Vision,78,https://jetadvisors.com/jet/cirrus-vision-sf-50/,2024-02-02
LOCKHEED L-1329 Jetstar 731,576,https://jetadvisors.com/jet/jetstar-ii/,2024-01-29
NORTH AMERICAN Sabre 40/50/60/65,283,https://jetadvisors.com/jet/sabreliner-60/,2024-01-29
LEARJET 31,202,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-Learjet-31A-3,2024-01-26
LEARJET 35,225,https://jetadvisors.com/jet/learjet-35a/,2024-02-02
LEARJET 40,224,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-Learjet-40XR-55,2024-01-26
LEARJET 45,205,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-Learjet-45-56,2024-01-26
LEARJET 55,244,https://jetadvisors.com/jet/learjet-55/,2024-02-02
LEARJET 60,239,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-Learjet-60-59,2024-01-26
LEARJET 75,199,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Bombardier-Learjet-75-181,2024-01-26
IAI 1124 Westwind,222,https://jetadvisors.com/jet/westwind-1/performance/,2024-01-29
SWEARINGEN SJ-30,156,https://jetadvisors.com/jet/syberjet-sj30-2/,2024-01-29
LOCKHEED L-1329 Jetstar 731,576,https://jetadvisors.com/jet/jetstar-ii/,2024-01-29
